tag,relax,adventure,localculture,citylife,shopping,earlybird,adult
atvrentals,1,5,1,1,1,3,0
airsoft,1,4,1,1,1,3,0
amateursportsteams,4,3,4,3,1,3,0
aquariums,4,3,3,3,2,3,0
archery,3,4,3,1,1,3,0
axethrowing,3,4,3,1,1,3,0
badminton,2,3,1,2,1,3,0
baseballfields,4,2,4,4,3,3,0
basketballcourts,2,2,4,4,3,3,0
battingcages,2,2,2,3,2,3,0
beaches,4,2,3,3,3,3,0
bikerentals,2,4,3,3,2,3,0
boating,4,4,2,2,2,3,0
bobsledding,1,5,4,2,2,3,0
Bocce Ball,5,2,5,4,2,3,0
bowling,4,1,1,4,3,3,0
bubblesoccer,2,5,4,4,3,3,0
bungeejumping,1,5,4,2,3,3,0
carousels,4,2,3,3,2,3,0
challengecourses,1,5,2,2,2,3,0
climbing,2,4,4,2,2,3,0
discgolf,3,4,3,4,2,3,0
freediving,2,4,5,2,2,3,0
scuba,2,5,5,1,3,3,0
escapegames,3,3,3,4,3,3,0
fishing,4,4,4,2,1,5,0
flyboarding,1,5,3,5,3,3,0-
gokarts,4,4,3,4,3,3,0
golf,4,2,4,3,3,3,0
hanggliding,1,5,5,2,3,3,0
hiking,4,4,4,1,1,4,0
hot_air_balloons,4,4,4,2,2,3,0
jetskis,1,4,2,2,2,3,0
Kiteboarding,1,4,3,2,3,3,0
lakes,4,3,4,2,2,3,0
lasertag,2,4,2,4,3,2,0
mini_golf,4,2,2,3,3,3,0
mountainbiking,2,5,4,2,2,2,0
nudist,4,5,4,2,3,1
paddleboarding,4,3,3,3,3,3,0
paintball,1,4,2,2,2,3,0
parasailing,2,4,4,2,3,3,0
parks,5,2,4,4,2,3,0
playgrounds,4,2,2,4,2,3,0
races,4,4,4,4,4,2,0
racingexperience,2,4,4,4,4,3,0
rafting,2,4,4,2,2,3,0
rock_climbing,4,2,2,4,3,3,0
sailing,4,4,4,2,3,3,0
scavengerhunts,4,4,4,4,3,3,0
skatingrinks,3,3,4,4,2,3,0
skydiving,1,5,2,2,3,3,0
sledding,4,2,4,3,2,3,0
snorkeling,4,4,4,2,2,3,0
football,2,4,3,4,3,3,0
surfing,2,4,5,3,3,3,0
swimmingpools,5,2,2,4,3,3,0
tennis,2,2,2,3,3,3,0
trampoline,2,2,2,3,3,3,0
waterparks,4,4,3,4,3,3,0
zipline,2,4,3,3,3,3,0
zoos,4,4,4,3,3,3,0
zorbing,2,4,2,4,3,3,0
arcades,4,1,4,4,4,3,0
galleries,5,2,5,4,3,3,0
gardens,5,5,5,5,3,3,0
cabaret,4,2,4,4,4,3,0
casinos,4,2,2,4,4,1,1
eatertainment,4,4,3,4,3,3,0
attractionfarms,5,4,5,1,3,3,0
festivals,3,5,5,5,4,3,0
hauntedhouses,1,4,2,4,2,1,2,0
jazzandblues,5,2,4,4,3,3,0
museums,5,2,5,3,3,3,0
observatories,4,3,3,3,3,3,0
opera,5,2,5,2,2,2,0
theater,5,2,4,4,3,3,0
planetarium,4,2,3,3,3,3,0
sportsteams,3,3,4,4,3,3,0
rodeo,2,5,4,3,3,3,0
psychic_astrology,3,3,4,3,3,3,0
virtualrealitycenters,4,4,2,3,3,3,0
spas,5,1,2,3,3,3,0
hotsprings,5,1,5,2,3,3,0
atvrentals,1,5,1,1,1,3,0
airsoft,1,4,1,1,1,3,0
amateursportsteams,4,3,4,3,1,3,0
aquariums,4,3,3,3,2,3,0
archery,3,4,3,1,1,3,0
axethrowing,3,4,3,1,1,3,0
badminton,2,3,1,2,1,3,0
acaibowls,5,3,3,3,3,3,0
bagels,5,3,3,3,3,3,0
bakeries,5,3,3,3,3,3,0
beer_and_wine,5,3,3,3,3,3,1
breweries,5,3,4,3,3,3,1
brewpubs,5,3,4,3,3,3,1
bubbletea,5,3,3,3,3,3,0
chimneycakes,5,3,3,3,3,3,0
cideries,5,3,3,3,3,3,0
coffee,5,3,4,3,3,3,0
coffeeroasteries,5,3,4,3,3,3,0
cupcakes,5,3,3,3,3,3,0
desserts,5,3,3,3,3,3,0
distilleries,5,3,4,3,3,3,1
donuts,5,3,3,3,3,3,0
empanadas,5,3,3,3,3,3,0
farmersmarket,5,3,5,3,3,3,0
foodtrucks,5,3,4,3,3,3,0
gelato,5,3,3,3,3,3,0
icecream,5,3,3,3,3,3,0
juicebars,5,3,3,3,3,3,0
kombucha,5,3,3,3,3,3,0
cakeshop,5,3,3,3,3,3,0
piadina,5,3,3,3,3,3,0
poke,5,3,3,3,3,3,0
pretzels,5,3,3,3,3,3,0
shavedice,5,3,3,3,3,3,0
shavedsnow,5,3,3,3,3,3,0
smokehouse,5,3,3,3,3,3,0
gourmet,5,3,3,3,3,3,0
candy,5,3,3,3,3,3,0
cheese,5,3,3,3,3,3,0
chocolate,5,3,3,3,3,3,0
healthmarkets,5,3,3,3,3,3,0
herbsandspices,5,3,3,3,3,3,0
macarons,5,3,3,3,3,3,0
pastashops,5,3,3,3,3,3,0
popcorn,5,3,3,3,3,3,0
streetvendors,5,3,5,3,3,3,0
tea,5,3,5,3,3,3,0
wineries,5,3,3,3,3,3,0
winetastingroom,5,3,3,3,3,3,1
hotelstravel,5,3,3,3,3,3,0
bedbreakfast,5,3,3,3,3,3,0
campgrounds,4,4,3,1,1,2,0
guesthouses,5,4,4,1,1,2,0
healthretreats,5,3,4,3,3,3,0
hostels,5,3,3,3,3,3,0
hotels,5,3,3,3,3,3,0
mountainhuts,3,5,4,1,1,4,0
motorcycle_rental,2,5,3,2,3,3,0
rvparks,3,4,3,1,1,3,0
rvrental,3,4,3,1,1,3,0
resorts,3,4,3,1,3,2,0
skiresorts,3,4,3,1,3,3,0
aerialtours,3,4,3,2,2,3,0
architecturaltours,4,3,4,3,1,3,0
arttours,4,3,3,3,3,3,0
beertours,4,3,4,3,2,2,1
biketours,2,4,4,3,2,3,0
boattours,4,3,4,3,3,3,0
bustours,4,3,3,3,3,3,0
foodtours,5,3,3,3,4,3,0
historicaltours,4,4,4,3,2,2,0
scootertours,5,3,4,3,3,3,0
walkingtours,3,3,4,3,3,3,0
whalewatchingtours,5,4,3,1,1,4,0
winetours,4,4,3,3,3,2,1
localflavor,4,3,5,3,3,3,0
parklets,3,3,3,3,3,3,0
publicart,4,3,4,3,3,3,0
adultentertainment,3,3,3,3,3,3,1
stripclubs,3,3,3,3,3,3,1
stripteasedancers,3,3,3,3,3,3,1
barcrawl,2,3,3,4,3,3,1
bars,3,3,3,3,3,3,1
airportlounges,4,3,2,3,3,4,1
beerbar,2,2,2,2,2,3,1
champagne_bars,3,2,2,2,2,3,1
cigarbars,3,2,2,2,2,3,1
cocktailbars,3,2,2,2,2,3,1
divebars,3,2,2,2,2,3,1
drivethrubars,3,2,2,2,2,3,1
gaybars,3,3,3,3,3,3,1
hookah_bars,3,3,3,3,3,3,1
irish_pubs,3,3,3,3,3,3,1
lounges,3,2,2,2,2,3,1
pubs,3,2,2,2,2,3,1
speakeasies,3,3,3,3,3,3,1
sportsbars,2,3,3,3,3,3,1
tikibars,3,3,3,3,3,3,1
vermouthbars,3,3,3,3,3,3,1
whiskeybars,3,3,3,3,3,3,1
wine_bars,3,3,3,3,3,3,1
beergardens,3,3,3,3,3,3,1
clubcrawl,3,3,3,3,3,3,1
comedyclubs,2,3,3,3,3,3,1
countrydancehalls,3,3,4,2,2,3,0
danceclubs,2,3,3,3,3,3,1
jazzandblues,3,3,3,3,3,3,0
karaoke,3,3,3,3,3,3,1
musicvenues,2,3,3,3,3,3,0
pianobars,4,3,3,3,3,3,1
poolhalls,2,3,3,3,3,3,1
publicservicesgovt,3,2,4,3,3,3,0
civiccenter,3,3,4,3,2,2,0
communitycenters,4,2,4,3,1,1,0
landmarks,3,3,4,3,2,2,0
libraries,3,3,3,3,3,3,0
townhall,3,3,4,3,3,3,0
  buddhist_temples,3,3,5,3,1,1,0
churces,3,1,3,1,1,0
mosques,3,1,3,1,1,0
sikhtemples,3,1,3,1,1,0
synagogues,3,1,3,1,1,0
afghani,3,4,3,3,2,1,0
african,3,4,3,3,2,1,0
senegalese,3,4,3,3,2,1,0
southafrican,3,4,3,3,2,1,0
newamerican,3,2,4,4,2,1,0
tradamerican,4,1,1,3,2,1,0
arabian,3,4,3,3,2,1,0
argentine,3,4,3,3,2,1,0
armenian,3,4,3,3,2,1,0
asianfusion,3,3,2,4,1,1,0
australian,3,3,3,3,2,1,0
austrian,3,3,3,3,2,1,0
bangladeshi,3,4,3,3,2,1,0
bbq,3,3,3,3,2,1,0
basque,3,4,3,3,2,1,0
belgian,3,3,3,3,2,1,0
brasseries,3,3,3,3,2,1,0
brazilian,3,4,3,3,2,1,0
breakfast_brunch,3,3,3,3,2,1,0
british,3,3,3,3,2,1,0
buffets,3,3,3,3,2,1,0
bulgarian,3,3,3,3,2,1,0
burgers,3,3,3,3,2,1,0
burmese,3,4,3,3,2,1,0
cafes,3,3,3,3,2,1,0
cafeteria,3,3,3,3,2,1,0
cajun,3,3,3,3,2,1,0
cambodian,3,4,3,3,2,1,0
dominican,3,4,3,3,2,1,0
haitian,3,4,3,3,2,1,0
puertorican,3,4,3,3,2,1,0
trinidadian,3,4,3,3,2,1,0
catalan,3,4,3,3,2,1,0
cheesesteaks,3,3,3,3,2,1,0
chickenshop,3,3,3,3,2,1,0
chicken_wings,3,3,3,3,2,1,0
cantonese,3,4,3,3,2,1,0
dimsum,3,4,3,3,2,1,0
hainan,3,4,3,3,2,1,0
shanghainese,3,4,3,3,2,1,0
szechuan,3,4,3,3,2,1,0
comfortfood,3,3,3,3,2,1,0
creperies,3,3,3,3,2,1,0
cuban,3,4,3,3,2,1,0
czech,3,4,3,3,2,1,0
delis,3,3,3,3,2,1,0
diners,3,3,3,3,2,1,0
dinnertheater,3,4,3,3,2,1,0
ethiopian,3,4,3,3,2,1,0
hotdogs,3,3,3,3,2,1,0
filipino,3,4,3,3,2,1,0
fishnchips,3,3,3,3,2,1,0
fondue,3,4,3,3,2,1,0
food_court,3,2,3,3,2,1,0
foodstands,3,3,3,3,2,1,0
mauritius,3,4,3,3,2,1,0
reunion,3,4,3,3,2,1,0
gamemeat,3,3,3,3,2,1,0
gastropubs,3,4,3,3,2,1,0
georgian,3,4,3,3,2,1,0
german,3,3,3,3,2,1,0
gluten_free,3,3,3,3,2,1,0
greek,3,4,3,3,2,1,0
guamanian,3,4,3,3,2,1,0
halal,3,4,3,3,2,1,0
hawaiian,3,3,3,3,2,1,0
himalayan,3,5,3,3,2,1,0
honduran,3,4,3,3,2,1,0
hkcafe,3,4,3,3,2,1,0
hotdog,3,2,3,3,2,1,0
hotpot,3,4,3,3,2,1,0
hungarian,3,4,3,3,2,1,0
iberian,3,4,3,3,2,1,0
indpak,3,4,3,3,2,1,0
indonesian,3,4,3,3,2,1,0
irish,3,4,3,3,2,1,0
italian,3,2,3,3,2,1,0
calabrian,3,4,3,3,2,1,0
sardinian,3,4,3,3,2,1,0
sicilian,3,4,3,3,2,1,0
tuscan,3,4,3,3,2,1,0
conveyorsushi,3,4,3,3,2,1,0
izakaya,3,4,3,3,2,1,0
japacurry,3,4,3,3,2,1,0
ramen,3,4,3,3,2,1,0
teppanyaki,3,4,3,3,2,1,0
kebab,3,4,3,3,2,1,0
korean,3,4,3,3,2,1,0
kosher,3,4,3,3,2,1,0
laotian,3,4,3,3,2,1,0
latin,3,3,3,3,2,1,0
colombian,3,3,3,3,2,1,0
salvadoran,3,3,3,3,2,1,0
venezuelan,3,3,3,3,2,1,0
raw_food,2,5,3,3,2,1,0
malaysian,3,4,3,3,2,1,0
mediterranean,3,3,3,3,2,1,0
falafel,3,4,3,3,2,1,0
mexican,3,3,3,3,2,1,0
tacos,3,3,3,3,2,1,0
mideastern,3,4,3,3,2,1,0
egyptian,3,4,3,3,2,1,0
lebanese,3,4,3,3,2,1,0
modern_european,3,3,3,3,2,1,0
mongolian,3,4,3,3,2,1,0
moroccan,3,4,3,3,2,1,0
newmexican,3,3,3,3,2,1,0
nicaraguan,3,4,3,3,2,1,0
noodles,3,3,3,3,2,1,0
pakistani,3,4,3,3,2,1,0
panasian,3,4,3,3,2,1,0
persian,3,4,3,3,2,1,0
peruvian,3,4,3,3,2,1,0
pizza,3,3,3,3,2,1,0
polish,3,3,3,3,2,1,0
polynesian,3,4,3,3,2,1,0
popuprestaurants,3,3,3,3,2,1,0
portuguese,3,4,3,3,2,1,0
poutineries,3,3,3,3,2,1,0
russian,3,4,3,3,2,1,0
salad,3,2,3,3,2,1,0
sandwiches,3,2,3,3,2,1,0
scandinavian,3,4,3,3,2,1,0
scottish,3,4,3,3,2,1,0
seafood,3,3,3,3,2,1,0
singaporean,3,4,3,3,2,1,0
slovakian,3,4,3,3,2,1,0
soulfood,3,3,3,3,2,1,0
soup,3,2,3,3,2,1,0
southern,3,2,3,3,2,1,0
spanish,3,4,3,3,2,1,0
srilankan,3,4,3,3,2,1,0
steak,3,2,3,3,2,1,0
supperclubs,3,3,3,3,2,1,0
sushi,3,4,3,3,2,1,0
syrian,3,4,3,3,2,1,0
taiwanese,3,4,3,3,2,1,0
tapas,3,4,3,3,2,1,0
tapasmallplates,3,4,3,3,2,1,0
tex-mex,3,3,3,3,2,1,0
thai,3,4,3,3,2,1,0
turkish,3,4,3,3,2,1,0
ukrainian,3,4,3,3,2,1,0
uzbek,3,4,3,3,2,1,0
vegan,3,3,3,3,2,1,0
vegetarian,3,3,3,3,2,1,0
vietnamese,3,4,3,3,2,1,0
waffles,3,3,3,3,2,1,0
wraps,3,3,3,3,2,1,0
adult,2,4,1,4,1,1
antiques,2,2,1,4,1,0
galleries,3,3,5,4,2,0
auctionhouses,3,4,4,2,5,3,0
cannabisdispensaries,4,5,2,3,4,1,1
fleamarkets,3,3,4,3,5,3,0
headshops,4,5,2,3,4,1,1
publicmarkets,3,3,4,3,5,3,0
